RBICF,RSEMT,RMGAS,RRECF,RVASL,RVASM
1.16539158493834e-05,3.72172085221872e-06,2.49427822013716e-06,4.75078965612581e-05,4.07929216881134e-05,3.01491143868994e-05
1.26296320891898e-05,3.59272757340426e-06,2.72187719233725e-06,4.9594432889201e-05,5.13772126944392e-05,3.2337908169274e-05
9.03891159574848e-06,3.35551217969967e-06,3.52052319362229e-06,4.58536774855836e-05,4.27476560169394e-05,2.53113962197348e-05
1.92773333742747e-05,4.13952161209768e-06,4.1750195811575e-06,5.87411400517385e-05,8.54849126371627e-05,4.85408015009772e-05
1.58684113670514e-05,4.09244525405703e-06,6.59762188081014e-06,6.97720912740626e-05,8.2872322612184e-05,4.59370323181377e-05
2.0063989041395e-05,4.52305554674684e-06,4.21267626835956e-06,7.28595877142498e-05,9.73587582076222e-05,5.7427414898093e-05
3.10297359789471e-05,4.95514783375974e-06,4.86408326250625e-06,7.92480225367375e-05,0.000147489487941121,7.3905961528557e-05
3.09262593651194e-05,5.99078147579061e-06,8.0704688385968e-06,0.000110775912629403,0.000140368487082079,8.85851514816068e-05
4.04481480999697e-05,8.35270203380304e-05,2.42612867447732e-05,3.55221697104304e-06,4.90100006536613e-06,7.46393165943073e-06
4.00246978844685e-05,8.69666762376295e-05,1.94759403351963e-05,3.66520092256974e-06,4.00570819445119e-06,6.91332550745201e-06
2.59254197187829e-05,7.33006136001146e-05,4.23431843481458e-05,3.301141681196e-06,3.54781476110005e-06,6.0124040682612e-06
2.20949080830649e-05,7.72470628280277e-05,3.07470555324726e-05,3.75907405644513e-06,4.1028755643963e-06,8.11337353646316e-06
4.7599803091088e-05,0.000113118053095268,5.6585126939451e-05,3.65088901684358e-06,7.08429233836408e-06,8.86813280446488e-06
4.82415342697646e-05,0.000133454897357384,5.82564296403853e-05,5.09256711932417e-06,7.72838284072251e-06,1.34869543425834e-05
5.0159502602318e-05,0.00013684042379512,5.42786845066648e-05,3.37114092426619e-06,8.78229387640057e-06,1.42364209706266e-05
5.79225037538347e-05,0.000158559873068479,0.000106669993836455,6.56970815502837e-06,9.79617118126534e-06,1.38518420708965e-05
